kategori,nama_barang,satuan,sisa_lalu_volume,sisa_lalu_harga_satuan,sisa_lalu_total,pengadaan_volume,pengadaan_harga_satuan,pengadaan_total,jumlah_volume,jumlah_harga,pemakaian_volume,pemakaian_harga_satuan,pemakaian_total,sisa_volume,sisa_harga,keterangan
Persediaan Alat Tulis Kantor,Amplop sedang,dus,0,20400.0,0,0,20400,0,0,0,0,20400,0,0,0,
Persediaan Alat Tulis Kantor,Ballpoint-kerja,buah,0,4000.0,0,24,4000,96000,24,96000,20,4000,80000,4,16000,
Persediaan Alat Tulis Kantor,Ballpoint - boxy/baliner,buah,0,18400.0,0,0,18400,0,0,0,0,18400,0,0,0,
Persediaan Alat Tulis Kantor,Binder  Clip  155,dus,0,950.0,0,0,950,0,0,0,0,950,0,0,0,
Persediaan Alat Tulis Kantor,Binder  Clip 200,Buah,0,1600.0,0,0,1600,0,0,0,0,1600,0,0,0,
Persediaan Alat Tulis Kantor,Binder  Clip 260,Dus,0,18600.0,0,0,18600,0,0,0,0,18600,0,0,0,
Persediaan Alat Tulis Kantor,Buku Ekspedisi,buku,0,14500.0,0,0,14500,0,0,0,0,14500,0,0,0,
Persediaan Alat Tulis Kantor,Buku Folio Garis isi 100 lembar,buah,0,22200.0,0,0,22200,0,0,0,0,22200,0,0,0,
Persediaan Alat Tulis Kantor,file box - plastik warna,buah,0,31900.0,0,0,31900,0,0,0,0,31900,0,0,0,
Persediaan Alat Tulis Kantor,Isi Hechtneices no.10,dus,0,4200.0,0,0,4200,0,0,0,0,4200,0,0,0,
Persediaan Alat Tulis Kantor,Kertas HVS - Folio  : 70 gram,rim,0,69100.0,0,15,69100,1036500,15,1036500,13,69100,898300,2,138200,
Persediaan Alat Tulis Kantor,Kertas HVS - Folio  : 80 gram,rim,0,70200.0,0,20,70200,1404000,20,1404000,18,70200,1263600,2,140400,
Persediaan Alat Tulis Kantor,Kertas HVS Ukuran A4  : 70 gram,rim,0,59300.0,0,9,59300,533700,9,533700,9,59300,533700,0,0,
Persediaan Alat Tulis Kantor,Klip Jumbo,dus,0,8300.0,0,0,8300,0,0,0,0,8300,0,0,0,
Persediaan Alat Tulis Kantor,Map Dokumen Sleting,buah,0,23800.0,0,15,23800,357000,15,357000,7,23800,166600,8,190400,
Persediaan Alat Tulis Kantor,Ordner Folio,buah,0,41300.0,0,0,41300,0,0,0,0,41300,0,0,0,
Persediaan Alat Tulis Kantor,Pensil - Hitam 2B,buah,0,6200.0,0,0,6200,0,0,0,0,5000,0,0,0,
Persediaan Alat Tulis Kantor,Post it,pak,0,64000.0,0,10,64000,640000,10,640000,0,64000,0,0,640000,
Persediaan Alat Tulis Kantor,Snelhectter - Plastik,buah,0,4200.0,0,0,4200,0,0,0,0,4200,0,0,0,
Persediaan Alat Tulis Kantor,Stabilo Kecil,Buah,0,10400.0,0,5,10400,52000,5,52000,5,10400,52000,0,0,
Persediaan Alat Tulis Kantor,Tinta Stempel,botol,0,18200.0,0,0,18200,0,0,0,0,18200,0,0,0,
Persediaan Alat Tulis Kantor,Type Ex Ballpoint,buah,0,39400.0,0,5,39400,197000,5,197000,4,39400,157600,1,39400,
Persediaan Alat Tulis Kantor,Plak ban,Roll,0,20300.0,0,2,20300,40600,2,40600,2,20300,40600,0,0,
Persediaan Alat Tulis Kantor,Setip Biasa,Buah,0,14500.0,0,0,14500,0,0,0,0,14500,0,0,0,
Persediaan Alat Tulis Kantor,Spidol Besar Permanen,Buah,0,10000.0,0,3,10000,30000,3,30000,3,10000,30000,0,0,
Persediaan Alat Tulis Kantor,Tinta Printer Warna,buah,0,65700.0,0,3,65700,197100,3,197100,2,65700,131400,1,65700,
Persediaan Alat Tulis Kantor,Tinta Printer Hitam,buah,0,58600.0,0,3,58600,175800,3,175800,3,58600,175800,0,0,
Persediaan Alat Tulis Kantor,Usb/Flash Disk - 32GB,buah,0,55000.0,0,3,55000,165000,3,165000,0,55000,0,3,165000,
Persediaan Benda Pos,Materai 10000,buah,0,10000.0,0,0,10000,0,0,0,0,10000,0,0,0,
Persediaan Barang Cetakan Lainnya,Blangko SPPD NCR 4 Rangkap,buku,0,51.6,0,0,0,0,0,0,0,0,0,0,0,
Persediaan Barang Cetakan Lainnya,Blangko Lambang Garuda(Emas),Set,50,2900.0,0,0,2900,0,50,0,0,2900,0,50,145000,
Persediaan Barang Cetakan Lainnya,Cetak Buku,buku,0,19600.0,0,0,19600,0,0,0,0,19600,0,0,0,
Persediaan Barang Cetakan Lainnya,Stopmap,buah,30,8300.0,0,0,8300,0,30,0,0,8300,0,30,249000,
