bulan,kategori,nama_barang,satuan,sisa_lalu_volume,sisa_lalu_harga_satuan,sisa_lalu_total,pengadaan_volume,pengadaan_harga_satuan,pengadaan_total,jumlah_volume,jumlah_harga,pemakaian_volume,pemakaian_harga_satuan,pemakaian_total,sisa_volume,sisa_harga,keterangan
Januari 2026,Persediaan Alat Tulis Kantor,Amplop sedang,dus,0,20400.0,0,0,20400,0,0,0,0,20400,0,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Ballpoint-kerja,buah,19,4000.0,76000,0,4000,0,19,76000,9,4000,36000,10,40000,
Januari 2026,Persediaan Alat Tulis Kantor,Ballpoint - boxy/baliner,buah,3,18400.0,55200,0,18400,0,3,55200,3,18400,55200,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Binder  Clip  155,dus,80,950.0,76000,0,950,0,80,76000,80,950,76000,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Binder  Clip 200,Buah,60,1600.0,96000,0,1600,0,60,96000,10,1600,16000,50,80000,
Januari 2026,Persediaan Alat Tulis Kantor,Buku Ekspedisi,buku,0,14500.0,0,0,14500,0,0,0,0,14500,0,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,file box - plastik warna,buah,3,31900.0,95700,0,31900,0,3,95700,3,31900,95700,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Isi Hechtneices no.10,dus,20,4200.0,84000,0,4200,0,20,84000,10,4200,42000,0,42000,
Januari 2026,Persediaan Alat Tulis Kantor,Kertas HVS - Folio  : 70 gram,rim,5,69100.0,345500,0,69100,0,5,345500,5,69100,345500,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Kertas HVS - Folio  : 80 gram,rim,0,70200.0,0,0,70200,0,0,0,0,70200,0,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Kertas HVS Ukuran A4  : 70 gram,rim,0,59300.0,0,0,59300,0,0,0,0,59300,0,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Klip Jumbo,dus,0,8300.0,0,0,8300,0,0,0,0,8300,0,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Map Dokumen Sleting,buah,0,23800.0,0,0,23800,0,0,0,0,23800,0,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Ordner Folio,buah,2,41300.0,82600,0,41300,0,2,82600,2,41300,82600,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Pensil - Hitam 2B,buah,0,5000.0,0,0,6200,0,0,0,0,5000,60800,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Post it,pak,1,64000.0,64000,0,64000,0,1,64000,1,64000,64000,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Snelhectter - Plastik,buah,2,4200.0,8400,0,4200,0,2,8400,2,4200,8400,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Stabilo Kecil,Buah,0,10400.0,0,0,10400,0,0,0,0,10400,0,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Tinta Stempel,botol,0,18200.0,0,0,18200,0,0,0,0,18200,0,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Type Ex Ballpoint,buah,1,39400.0,39400,0,39400,0,1,39400,1,39400,39400,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Plak ban,Roll,7,20300.0,142100,0,20300,0,7,142100,7,20300,142100,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Setip Biasa,Buah,5,14500.0,72500,0,14500,0,5,72500,5,14500,72500,0,0,
