no,kategori,kode_barang,nama_barang,nomor_urut_pendaftaran,nomor_register,merk_type,ukuran_cc,bahan,tahun_perolehan,nomor_pabrik,nomor_rangka,nomor_mesin,nomor_polisi,nomor_bpkb,ruang_lokasi,asal_usul,harga_rp,keterangan
1,A. INTRA KOMPATABEL,02.02.01.01.003,Station Wagon,04010030002000001,000001,TOYOTA / NEW AVANZA VELOZ 1.5 M/T,01495 cc,Besi,2013,,MHKM1CA4JDKO52467,DDX5480,G 9508 FE,,Depan kantor,Pembelian,184960000,(Kendaraan Dinas Roda 4)
2,A. INTRA KOMPATABEL,02.02.01.04.001,Sepeda Motor,04010030002000002,000002,Yamaha/Crypton / Cripton/T105 E,00105 cc,Besi,2000,,MH34ST002YK272324,4ST403227,G9962E,B 0141135I,Staf,Pembelian,9265000,(Sepeda Motor)
3,A. INTRA KOMPATABEL,02.02.01.04.001,Sepeda Motor,04010030002000004,000005,Yamaha  / IFD,115 cc,Besi,2014,,MH31FD005FJ07789,1FD077399,G9676N,L 13252171,Staf,Pembelian,14670000,dipakai Kasubag Bankum
4,A. INTRA KOMPATABEL,02.02.02.02.001,Sepeda,04010030002000005,000001,Poligon   / -,-,BESI,2017,,-,-,-,-,Kabag,Pembelian,6406364,Pembelian Sepeda Poligon
5,A. INTRA KOMPATABEL,02.05.01.01.004,Mesin Ketik Listrik,04010030002000239,000001,Brother / GX8250,,Plastik,2021,-,-,-,-,-,Staf,Pembelian,3300000,Pembelian Mesin Ketik Listrik
6,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000008,000001,Brother / -,P 91 T 183 L465,Besi,1988,,-,-,-,-,Staf,Pembelian,500000,(Lemari Besi 4 sap)
7,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000009,000002,Brother / -,,Besi,2001,,-,-,-,-,Staf,Pembelian,1100000,(Lemari Besi)
8,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000010,000003,Brother / 2 pt / -,-,Besi,2001,,-,-,-,-,Staf,Pembelian,1100000,(Lemari Besi)
9,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000011,000004,Brother / -,-,Besi,2002,,-,-,-,-,Arsip,Pembelian,1200000,(Lemari Besi)
10,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000012,000006,Brother / -,"P 91 T 183 L 46,5",Besi,2002,,-,-,-,-,Staf,Pembelian,1200000,(Lemari Besi)
11,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000013,000009,Brother / -,"P 91 T 183 L 46,5",Besi,2002,,-,-,-,-,Arsip,Pembelian,1240000,Lemari besi
12,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000014,000012,Brother / -,"T 91 T 183 L 46,5",Besi,2002,,-,-,-,-,Staf,Pembelian,1240000,Lemari besi
13,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000015,000014,Brother / -,"P 91 T 183 L 46,5",Besi,2002,,-,-,-,-,Staf,Pembelian,1240000,Lemari besi
14,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000016,000017,Brother / -,"P 91 T 183 L 46,5",Besi,2002,,-,-,-,-,JDIH,Pembelian,1240000,Lemari besi
15,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000017,000018,LUFO / -,"P 01 T 183 L 46,5",Besi,2002,,-,-,-,-,Staf,Pembelian,1240000,Lemari besi
16,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000018,000019,LUFO / -,"P 91 T 183 L 46,5",Besi,2002,,-,-,-,-,Arsip,Pembelian,1240000,Lemari besi
17,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000019,000020,LUFO / -,"P 91 T 183 L 46,5",Besi,2002,,-,-,-,-,Arsip,Pembelian,1240000,Lemari besi
18,A. INTRA KOMPATABEL,02.05.01.04.001,Lemari Besi/Metal,04010030002000020,000021,LUFO / -,"P 91 T 183 L 46,5",Besi,2002,,-,-,-,-,Kabag,Pembelian,1240000,Lemari Besi
19,A. INTRA KOMPATABEL,02.05.01.04.002,Lemari Kayu,04010030002000040,000005,- / -,-,Kayu,1996,,-,-,-,-,JDIH,Pembelian,850000,Di mutasi ke kelurahan Pesurungan Lor.
20,A. INTRA KOMPATABEL,02.05.01.04.002,Lemari Kayu,04010030002000041,000006,- / -,-,Kayu,1996,,-,-,-,-,JDIH,Pembelian,850000,Di mutasi ke kelurahan pesurungan Lor
21,A. INTRA KOMPATABEL,02.05.01.04.002,Lemari Kayu,04010030002000042,000008,u/ Buku / -,-,Kayu,2000,,-,-,-,-,JDIH,Pembelian,500000,Di Mutasi ke kelurahan Pesurungan Lor
22,A. INTRA KOMPATABEL,02.05.01.04.002,Lemari Kayu,04010030002000043,000011,Arsip / -,-,Kayu,2001,,-,-,-,-,JDIH,Pembelian,750000,"(Lemari Kayu pintu 2),Di Mutasi ke Kelurahan pesurungan lor."
23,A. INTRA KOMPATABEL,02.05.01.04.003,Rak Besi,04010030002000025,000005,- / -,-,Besi,2002,,-,-,-,-,Arsip,Pembelian,1240000,Rak Besi Perpustakaan
